id,date_reading,temperature,humidity,dioxide,radiation
141,2021-07-02 15:49:26,25,54,653,0.93
142,2021-07-02 16:20:24,26,55,654,0.94
143,2021-07-02 17:50:24,27,56,655,0.95
144,2021-07-02 18:31:20,28,57,656,0.96
145,2021-07-13 22:42:29,23,80,530,0.14
146,2021-07-13 22:42:29,30,76,627,1.07
147,2021-07-13 23:43:52,18,70,453,0.15
148,2021-07-13 12:43:49,19,73,452,1.15
149,2021-07-13 21:47:06,19,71,454,0.81
150,2021-07-03 19:44:59,29,58,656,0.97
151,2021-07-03 20:14:19,30,59,657,0.98
152,2021-07-03 21:45:30,31,60,658,0.99
153,2021-07-03 22:26:34,32,61,659,1.01
154,2021-07-03 23:56:22,33,62,660,1.02
155,2021-07-03 00:26:11,23,63,661,1.03
156,2021-07-14 22:48:02,20,72,500,1.18
157,2021-07-14 20:48:02,21,73,502,0.01
158,2021-07-14 22:49:54,22,73,460,0.14
159,2021-07-14 22:50:40,23,74,463,0.58
160,2021-07-14 09:51:12,24,75,566,0.11
161,2021-07-16 22:52:05,18,76,568,0.12
162,2021-07-16 20:52:28,19,80,569,0.13
163,2021-07-16 22:52:28,20,78,570,0.14
164,2021-07-16 22:52:28,21,77,572,0.15
165,2021-07-16 22:54:19,21,81,574,0.16
166,2021-07-04 01:51:11,23,64,662,1.04
167,2021-07-04 02:31:21,24,65,663,1.05
168,2021-07-04 03:22:37,25,66,664,1.06
169,2021-07-04 04:32:55,26,67,665,1.07
170,2021-07-04 04:53:10,27,64,666,1.08
171,2021-07-04 05:13:23,28,69,667,1.09
172,2021-07-17 22:54:56,22,70,576,0.16
173,2021-07-17 22:54:56,23,71,577,0.17
174,2021-07-17 10:55:40,24,71,450,0.18
175,2021-07-17 18:55:40,18,72,451,0.18
176,2021-07-17 20:56:43,19,73,455,0.19
177,2021-07-18 22:58:14,20,73,458,0.2
178,2021-07-18 12:58:14,22,74,461,0.21
179,2021-07-18 02:59:03,23,75,460,0.22
180,2021-07-18 08:59:03,23,76,462,0.23
181,2021-07-14 22:57:44,22,62,600,0.1
182,2021-07-21 22:57:44,21,64,700,0.2
183,2021-08-15 22:58:16,20,65,500,0.5
184,2021-07-28 22:58:56,25,70,500,1.3
185,2021-07-28 22:59:30,26,67,650,0.9
186,2021-07-05 06:47:13,29,70,668,1.1
187,2021-07-05 07:27:23,30,71,668,1.11
188,2021-07-05 08:38:06,31,72,670,1.12
189,2021-07-05 09:18:46,32,73,671,1.13
190,2021-07-05 10:59:26,33,74,672,1.14
191,2021-07-05 11:00:27,23,75,673,1.15
192,2021-07-19 23:00:08,18,74,464,0.24
193,2021-07-19 13:00:08,19,75,466,0.25
194,2021-07-19 20:01:09,20,76,467,0.26
195,2021-07-19 19:01:09,21,77,469,0.27
196,2021-07-19 13:01:50,22,78,470,0.28
197,2021-07-20 23:02:29,23,78,471,0.29
198,2021-07-20 19:02:29,24,79,473,0.3
199,2021-07-20 21:03:10,25,80,475,0.31
200,2021-07-20 05:03:10,18,81,478,0.32
201,2021-07-20 23:03:54,19,82,479,0.33
202,2021-07-06 23:02:16,24,76,674,1.16
203,2021-07-06 22:02:16,25,77,675,1.17
204,2021-07-06 23:22:42,26,78,676,1.18
205,2021-07-06 10:33:13,27,79,677,1.19
206,2021-07-06 02:43:27,28,80,678,1.2
207,2021-07-06 23:13:59,29,81,679,1.21
208,2021-07-21 23:04:39,20,70,480,0.34
209,2021-07-21 13:04:39,21,71,482,0.35
210,2021-07-21 04:05:32,22,73,484,0.36
211,2021-07-21 15:06:03,23,75,486,0.37
212,2021-07-21 18:06:24,24,76,488,0.38
213,2021-07-10 23:01:00,20,64,550,0.99
214,2021-08-22 23:01:00,25,66,600,0.07
215,2021-08-13 23:02:38,26,68,550,0.05
216,2021-07-17 23:03:20,30,64,700,0.09
217,2021-07-30 23:04:27,29,80,700,0.06
218,2021-07-27 23:05:06,30,100,500,0.1
219,2021-07-18 23:05:45,25,70,700,0.11
220,2021-07-29 23:06:24,23,63,600,0.12
221,2021-07-31 23:07:00,29,100,700,1.3
222,2021-07-03 23:07:37,28,80,550,0.9
223,2021-07-22 23:07:08,25,77,490,0.39
224,2021-07-22 21:07:08,18,79,492,0.4
225,2021-07-22 16:07:54,19,81,494,0.41
226,2021-07-22 23:07:54,20,82,496,0.42
227,2021-07-22 23:08:35,21,84,499,0.43
228,2021-07-22 20:09:01,22,86,501,0.44
229,2021-07-22 03:09:24,23,88,505,0.45
230,2021-07-22 12:09:50,24,89,510,0.46
231,2021-07-07 12:06:52,33,82,680,1.22
232,2021-07-07 13:16:52,28,83,681,1.23
233,2021-07-07 14:07:14,29,84,682,1.24
234,2021-07-07 15:28:08,30,85,683,1.25
235,2021-07-07 16:08:48,31,86,684,1.26
236,2021-07-07 17:49:04,32,87,685,1.27
237,2021-07-23 23:10:40,18,70,515,0.48
238,2021-07-20 23:10:40,19,71,518,0.49
239,2021-07-23 11:11:24,20,73,520,0.5
240,2021-07-23 14:11:46,21,74,519,0.51
241,2021-07-23 17:12:09,22,75,523,0.52
242,2021-07-24 23:12:54,23,76,525,0.53
243,2021-07-24 16:12:54,24,77,530,0.0
244,2021-07-17 23:08:50,24,68,550,0.08
245,2021-07-17 23:08:50,26,80,650,0.09
246,2021-07-04 23:10:23,27,63,500,0.07
247,2021-07-10 23:10:50,22,70,700,1.1
248,2021-07-24 23:11:53,24,80,600,0.99
249,2021-07-12 23:13:04,28,60,600,0.13
250,2021-07-13 23:13:41,22,60,500,1.3
251,2021-07-17 23:14:12,26,61,500,0.02
252,2021-07-25 23:13:42,24,77,532,0.54
253,2021-07-25 13:13:42,25,78,534,0.55
254,2021-07-25 01:14:21,18,79,536,0.56
255,2021-07-25 18:14:40,19,80,540,0.6
256,2021-07-25 20:15:39,20,81,542,0.61
257,2021-07-08 20:22:53,23,88,686,1.22
258,2021-07-08 21:12:33,24,89,687,1.23
259,2021-07-08 22:33:34,25,90,688,1.24
260,2021-07-08 23:43:58,26,91,689,1.25
261,2021-07-08 00:44:23,27,92,690,1.26
262,2021-07-08 01:14:42,28,93,691,1.27
263,2021-07-26 23:16:18,21,81,544,0.62
264,2021-07-26 20:16:18,22,82,543,0.63
265,2021-07-26 13:17:01,23,83,553,0.64
266,2021-07-26 07:17:22,24,70,556,0.67
267,2021-07-26 10:17:56,18,71,560,0.68
268,2021-07-26 12:18:20,19,72,563,0.69
269,2021-07-26 19:18:42,20,73,567,0.7
270,2021-08-24 23:15:07,25,65,500,0.03
271,2021-07-08 23:15:07,24,63,700,0.05
272,2021-07-16 23:16:05,28,66,600,0.08
273,2021-07-23 23:17:11,21,65,600,0.2
274,2021-07-16 23:17:55,24,78,600,0.03
275,2021-07-30 23:18:39,22,75,550,0.06
276,2021-07-20 23:19:13,25,68,700,0.15
277,2021-07-03 23:19:44,20,81,550,0.16
278,2021-07-23 23:20:18,22,83,550,0.18
279,2021-07-27 23:19:25,21,74,549,0.71
280,2021-07-27 13:19:25,22,75,551,0.72
281,2021-07-27 15:20:04,23,76,553,0.73
282,2021-07-27 20:20:29,24,77,556,0.74
283,2021-07-27 20:20:54,25,78,558,0.75
284,2021-07-27 03:21:23,18,79,560,0.76
285,2021-07-18 23:21:01,23,63,700,0.2
286,2021-07-07 23:21:01,22,79,650,0.21
287,2021-07-09 23:21:56,29,64,550,0.04
288,2021-07-04 23:22:29,26,63,500,1.0
289,2021-07-06 23:23:02,20,66,500,0.09
290,2021-07-28 23:22:08,19,80,562,0.77
291,2021-07-28 20:22:08,20,81,564,0.78
292,2021-07-28 02:22:47,21,82,567,0.79
293,2021-07-28 13:23:09,22,70,569,0.8
294,2021-07-28 15:23:28,23,71,571,0.81
295,2021-07-28 16:23:54,24,72,573,0.82
296,2021-07-28 18:24:14,23,73,576,0.83
297,2021-07-06 23:23:51,23,68,500,0.3
298,2021-07-10 23:24:37,25,61,600,0.05
299,2021-07-12 23:25:09,28,62,700,1.2
300,2021-07-21 23:25:37,20,62,600,1.1
301,2021-07-09 10:17:25,29,93,692,0.9
302,2021-07-09 11:27:25,30,94,693,0.91
303,2021-07-09 12:31:07,31,95,694,0.93
304,2021-07-09 13:21:35,32,96,695,0.95
305,2021-07-09 14:22:00,33,97,696,0.94
306,2021-07-09 23:22:45,23,98,697,1.3
307,2021-07-29 23:25:01,24,73,577,0.84
308,2021-07-29 04:25:01,18,74,578,0.85
309,2021-07-29 19:26:08,19,75,579,0.86
310,2021-07-29 03:26:28,20,76,580,0.87
311,2021-07-29 23:27:01,21,77,581,0.88
312,2021-07-29 23:27:16,22,78,583,0.89
313,2021-07-29 20:27:37,23,79,584,0.9
314,2021-07-01 23:26:18,27,67,700,0.25
315,2021-07-02 23:26:18,20,63,650,0.25
316,2021-07-24 23:27:17,25,68,500,0.3
317,2021-07-03 23:27:36,29,61,700,0.31
318,2021-07-04 23:28:04,28,70,500,0.5
319,2021-07-05 23:28:40,22,62,550,0.55
320,2021-07-06 23:28:40,26,78,700,0.6
321,2021-07-07 23:29:22,21,62,500,0.25
322,2021-07-08 23:29:45,22,65,700,0.1
323,2021-07-09 23:30:05,28,68,600,0.15
324,2021-07-10 10:27:12,28,99,698,0.96
325,2021-07-10 23:27:12,29,100,699,0.97
326,2021-07-10 13:27:52,30,51,700,0.98
327,2021-07-10 14:28:03,31,52,701,0.99
328,2021-07-10 15:28:15,32,53,702,1.0
329,2021-07-10 16:28:44,33,54,703,1.01
330,2021-07-30 23:28:20,24,80,586,0.91
331,2021-07-30 11:28:20,25,81,589,0.92
332,2021-07-30 21:29:02,18,70,590,0.93
333,2021-07-30 18:29:22,19,71,592,0.94
334,2021-07-30 01:29:43,20,72,594,0.95
335,2021-07-30 13:30:04,21,73,595,0.96
336,2021-07-30 22:30:30,22,74,600,0.97
337,2021-08-09 23:30:44,26,64,550,0.14
338,2021-07-10 23:30:44,24,71,600,0.11
339,2021-07-11 23:31:21,22,62,550,0.12
340,2021-07-12 23:31:39,22,74,500,0.3
341,2021-07-13 23:32:01,26,64,600,0.25
342,2021-07-31 23:31:16,23,75,601,0.98
343,2021-07-31 22:31:16,24,76,603,0.99
344,2021-07-31 20:31:56,18,77,606,1.0
345,2021-07-31 19:32:26,19,78,509,1.01
346,2021-07-31 23:32:50,20,79,610,1.02
347,2021-07-31 14:33:17,21,80,613,1.04
348,2021-07-31 12:33:38,22,81,615,1.05
349,2021-07-31 10:34:01,23,82,618,1.06
350,2021-08-12 23:32:35,26,63,500,0.2
351,2021-08-23 23:32:35,22,63,700,0.11
352,2021-07-23 23:33:11,25,65,500,0.19
353,2021-07-16 23:33:37,26,62,550,1.1
354,2021-07-16 23:34:15,27,70,650,1.3
355,2021-07-11 20:32:30,23,55,704,1.02
356,2021-07-11 21:42:30,24,56,705,1.03
357,2021-07-11 23:53:08,25,57,706,1.04
358,2021-07-11 00:23:24,26,58,707,1.05
359,2021-07-11 01:33:41,27,59,708,1.06
360,2021-07-11 01:34:34,28,60,709,1.07
361,2021-07-18 23:34:52,24,61,550,0.1
362,2021-07-19 23:34:52,26,79,650,0.21
363,2021-07-21 23:35:36,29,79,500,0.22
364,2021-07-26 23:36:00,26,63,700,0.22
365,2021-07-23 23:36:24,30,66,600,0.23
366,2021-08-20 23:36:45,22,75,600,0.25
367,2021-08-01 23:34:41,18,70,620,1.07
368,2021-08-01 22:34:41,19,71,623,1.08
369,2021-08-01 20:35:21,20,72,625,1.09
370,2021-08-01 19:35:43,21,73,628,1.1
371,2021-08-01 17:36:05,22,75,631,1.11
372,2021-08-01 11:36:26,23,76,637,1.12
373,2021-07-12 23:37:20,22,70,500,0.26
374,2021-07-20 23:37:20,29,80,500,0.29
375,2021-07-22 23:38:02,25,62,600,0.31
376,2021-07-22 23:38:19,30,68,550,0.33
377,2021-07-23 23:38:38,21,65,700,0.29
378,2021-08-02 23:37:20,19,75,645,1.13
379,2021-07-02 23:37:20,20,76,650,1.14
380,2021-07-03 23:38:03,21,77,652,1.15
381,2021-07-04 23:38:22,22,78,660,1.16
382,2021-07-05 23:38:41,18,79,453,1.17
383,2021-07-06 23:38:56,19,80,460,1.18
384,2021-07-14 23:39:18,20,81,478,1.19
385,2021-07-31 23:39:07,21,61,550,0.23
386,2021-06-22 23:40:16,25,64,700,0.35
387,2021-07-12 05:37:51,28,61,650,0.84
388,2021-07-12 06:37:51,29,62,657,0.89
389,2021-07-12 07:38:16,30,63,658,0.85
390,2021-07-12 08:38:30,31,64,659,1.08
391,2021-07-12 09:38:48,32,65,660,1.09
392,2021-07-12 10:38:59,33,66,661,1.1
393,2021-07-12 11:39:10,23,67,700,1.11
